nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0050419,tt0043044,tt0072308,tt0053137
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0037382,tt0071877,tt0038355,tt0117057
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,producer	tt0057345,tt0059956,tt0054452,tt0049189
nm0000004	John Belushi	1949	1982	actor,writer,soundtrack	tt0078723,tt0072562,tt0080455,tt0077975
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050976,tt0050986,tt0069467,tt0083922
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0038787,tt0036855,tt0071877,tt0038109
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0043265,tt0037382,tt0033870,tt0034583
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0047296,tt0068646,tt0078788,tt0070849
nm0000009	Richard Burton	1925	1984	actor,producer,soundtrack	tt0057877,tt0087803,tt0061184,tt0059749
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0055256,tt0031867,tt0029870,tt0035575
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,producer	tt0035211,tt0034167,tt0027996,tt0044706
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0056687,tt0031210,tt0035140,tt0042192
nm0000013	Doris Day	1922	\N	soundtrack,actress,producer	tt0048317,tt0053172,tt0055100,tt0060463
nm0000014	Olivia de Havilland	1916	\N	actress,soundtrack	tt0031381,tt0040806,tt0041452,tt0029843
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0049261,tt0048545,tt0048028,tt0045458
nm0000016	Georges Delerue	1925	1992	composer,soundtrack,music_department	tt0091763,tt0096320,tt0069946,tt0080610
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0055031,tt0040367,tt0052311,tt0051201
nm0000018	Kirk Douglas	1916	\N	actor,producer,soundtrack	tt0054331,tt0080736,tt0049456,tt0052365
nm0000019	Federico Fellini	1920	1993	writer,director,assistant_director	tt0047528,tt0071129,tt0056801,tt0053779
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0032551,tt0050083,tt0064116,tt0082846
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0039504,tt0036969,tt0034248,tt0032976
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0052278,tt0031381,tt0026752,tt0025316
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0055031,tt0032138,tt0037059,tt0047522
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0082031,tt0071877,tt0045943,tt0117631
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0117731,tt0119488,tt0100802,tt0112715
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0056923,tt0036613,tt0048728,tt0053125
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0041546,tt0076759,tt0051739,tt0050212
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0036723,tt0040552,tt0040525,tt0038559
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0077800,tt0110138,tt0102122,tt0074802
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0046250,tt0058385,tt0056923,tt0054698
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0063227,tt0082846,tt0032904,tt0043265
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0049833,tt0070723,tt0063442,tt0052618
nm0000033	Alfred Hitchcock	1899	1980	actor,director,producer	tt0052357,tt0030341,tt0053125,tt0054215
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0074958,tt0065214,tt0046359,tt0043014
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0120746,tt0499549,tt0120338,tt0120647
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0015324,tt0017925,tt0016332,tt0015863
nm0000037	Gene Kelly	1912	1996	actor,soundtrack,director	tt0045152,tt0041944,tt0041716,tt0043278
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0048728,tt0044706,tt0046912,tt0047396
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0049408,tt0045793,tt0050105,tt0039192
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0062622,tt0066921,tt0072684,tt0120663
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0089881,tt0051808,tt0080979,tt0047478
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0046303,tt0043292,tt0038369,tt0035432
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0034240,tt0038369,tt0034881,tt0034798
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0053793,tt0050468,tt0045793,tt0059825
nm0000045	Bruce Lee	1940	1973	actor,miscellaneous,producer	tt0068935,tt0068767,tt0077594,tt0070034
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0033238,tt0055382,tt0031381,tt0044081
nm0000047	Sophia Loren	1934	\N	actress,soundtrack	tt0076085,tt0060121,tt0058335,tt0054749
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0033870,tt0022100,tt0034583,tt0036613
nm0000049	Henry Mancini	1924	1994	music_department,soundtrack,composer	tt0085101,tt0054698,tt0383216,tt0057413
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0022158,tt0026778,tt0023969,tt0028772
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0056193,tt0053125,tt0047522,tt0046672
nm0000052	Marcello Mastroianni	1924	1996	actor,soundtrack,producer	tt0057171,tt0053779,tt0056801,tt0076085
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0101540,tt0039689,tt0056197,tt0048424
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0048605,tt0050861,tt0053291,tt0045810
nm0000055	Alfred Newman	1901	1970	music_department,composer,soundtrack	tt0434409,tt0042192,tt0065377,tt0056085
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0061512,tt0054997,tt0084855,tt0090863
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0052182,tt0074937,tt0061452,tt0057413
nm0000058	Maureen O'Hara	1920	2015	actress,soundtrack	tt0055277,tt0041149,tt0045061,tt0039628
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0040416,tt0032976,tt0054331,tt0069281
nm0000060	Gregory Peck	1916	2003	actor,producer,soundtrack	tt0056592,tt0039416,tt0041996,tt0046250
nm0000061	Tyrone Power	1914	1958	actor,soundtrack,producer	tt0043959,tt0051201,tt0032762,tt0038873
nm0000062	Elvis Presley	1935	1977	soundtrack,actor,music_department	tt0054692,tt0056023,tt0056585,tt0053848
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0049456,tt0074896,tt0057831,tt0056172
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0070723,tt0021079,tt0036775,tt0040506
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0068646,tt0063518,tt0071562,tt0056801
nm0000066	Jane Russell	1921	2011	actress,soundtrack,producer	tt0043476,tt0045177,tt0043643,tt0045810
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0038109,tt0054847,tt0052618,tt0036775
nm0000068	Randolph Scott	1898	1987	actor,producer,soundtrack	tt0049743,tt0051047,tt0056412,tt0026942
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0050815,tt0056218,tt0052218,tt0045793
nm0000070	Max Steiner	1888	1971	music_department,composer,soundtrack	tt0040897,tt0031381,tt0034583,tt0036613
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0052357,tt0031679,tt0052561,tt0032904
nm0000072	Elizabeth Taylor	1932	2011	actress,soundtrack,producer	tt0056937,tt0061184,tt0051459,tt0053318
nm0000073	Shirley Temple	1928	2014	actress,soundtrack,writer	tt0027421,tt0040369,tt0032264,tt0030657
nm0000074	Gene Tierney	1920	1991	actress,soundtrack	tt0037865,tt0037008,tt0038492,tt0039420
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0061735,tt0055031,tt0057193,tt0053946
nm0000076	François Truffaut	1932	1984	writer,director,producer	tt0055032,tt0053198,tt0070460,tt0075860
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0043924,tt0032976,tt0034248,tt0043014
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0057298,tt0053580,tt0065126,tt0056217
nm0000079	Raquel Welch	1940	\N	actress,soundtrack,producer	tt0250494,tt0060397,tt0070291,tt0072281
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0057427,tt0052311,tt0033467,tt0059012
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0055614,tt0048545,tt0055471,tt0057263
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt0090756,tt0119094,tt3315342,tt0045061
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt0170560,tt0969216,tt0424773
nm0000084	Li Gong	1965	\N	actress	tt0430357,tt0473444,tt0397535,tt0101640
nm0000085	Henner Hofmann	1950	\N	cinematographer,producer,camera_department	tt1825758,tt0097738,tt0113482,tt0097523
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0069747,tt0079200,tt0083109,tt0074103
nm0000087	Elena Koreneva	1953	\N	actress,casting_director	tt7529350,tt5847740,tt0123138,tt0122969
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0191104,tt0068304,tt0063752,tt0100069
nm0000089	Richard Paul	1940	1998	actor	tt0117318,tt0093778,tt0088529,tt0075489
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0117631,tt0963178,tt0765443,tt0139809
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0421974,tt0064297,tt0152930,tt0282552
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0063929,tt0095159,tt0085959,tt0071853
