tconst	averageRating	numVotes
tt0000001	5.8	1472
tt0000002	6.4	177
tt0000003	6.6	1101
tt0000004	6.5	106
tt0000005	6.2	1804
tt0000006	5.6	95
tt0000007	5.5	591
tt0000008	5.6	1581
tt0000009	5.6	76
tt0000010	6.9	5248
tt0000011	5.4	219
tt0000012	7.4	8858
tt0000013	5.8	1356
tt0000014	7.2	3869
tt0000015	6.2	686
tt0000016	5.9	1007
tt0000017	4.8	201
tt0000018	5.5	421
tt0000019	6.6	13
tt0000020	5.1	233
tt0000022	5.2	756
tt0000023	5.7	960
tt0000024	5.8	22
tt0000025	4.8	19
tt0000026	5.7	1167
tt0000027	5.6	787
tt0000028	5.2	718
tt0000029	5.9	2515
tt0000030	5.3	613
tt0000031	5.6	704
tt0000032	5.3	296
tt0000033	5.6	747
tt0000034	5.5	103
tt0000035	5.8	46
tt0000036	4.5	424
tt0000037	4.8	35
tt0000038	4.3	128
tt0000039	4.6	11
tt0000040	4.4	31
tt0000041	6.7	1229
tt0000042	4.9	17
tt0000043	4.7	9
tt0000044	4.8	22
tt0000045	4.9	14
tt0000046	4.7	15
tt0000047	4.1	12
tt0000048	5.5	98
tt0000049	5.8	19
tt0000050	4.8	12
tt0000051	4.5	10
tt0000052	4.9	41
tt0000053	3.3	6
tt0000054	5.8	15
tt0000055	4.4	12
tt0000056	4.0	8
tt0000057	5.0	11
tt0000058	4.7	12
tt0000059	4.3	9
tt0000060	7.9	58
tt0000061	4.5	11
tt0000062	6.5	138
tt0000063	4.4	8
tt0000064	4.1	9
tt0000065	4.3	9
tt0000066	4.4	9
tt0000067	6.1	36
tt0000068	4.7	9
tt0000069	4.9	290
tt0000070	6.4	1970
tt0000071	4.2	12
tt0000072	4.8	11
tt0000073	4.7	9
tt0000074	4.7	13
tt0000075	6.4	1283
tt0000076	4.5	379
tt0000077	5.3	15
tt0000078	4.5	38
tt0000079	4.8	15
tt0000080	4.6	11
tt0000081	4.6	11
tt0000082	5.4	19
tt0000083	5.3	14
tt0000084	4.6	12
tt0000085	5.3	14
tt0000086	4.7	12
tt0000087	5.3	15
tt0000088	5.3	12
tt0000089	6.3	708
tt0000090	4.5	11
tt0000091	6.7	2297
tt0000092	5.4	9
tt0000093	5.2	58
tt0000094	4.8	11
tt0000095	5.3	16
tt0000096	5.3	9
tt0000097	5.5	15
tt0000098	5.8	17
tt0000099	5.3	12
tt0000100	5.4	27
